Username,Text Coment,Sentiment,,,,,,,,,,,,
@AcehAlbes~,"Mau pamer² kebaikan dan keberhasilan diujung masa jabatannya, tp malah terjadi kekacauan dmna² untuk masyarakat² yg dipimpinnya.",Negatif,,,,,,,,,,,,
@bungdree~,Penghamburan uang Rakyat ke proyek ga masuk akal yg akan mangkrak ini akan terus berlangsung!!!,Negatif,,,,,,,,,,,,
@SmokesOnMyHead~,Proyek halu aja dibanggain... Palingan mangkrak entar,Negatif,,,,,,,,,,,,
@JimmyAnwar11~,"Hancurr apbn dikarnakan ikn,yg dahulunya digembar gembor bahwasanya pembangunan ikn tdk munggunakan apbn.dan untuk siapa sebenarnya ikn inii..sehingga begitu getol untuk melaksanakannya.dan juga sebelumnya dikatakan bahwa investor yg berminat sudah overload.Janji yg tenggelam.",Negatif,,,,,,,,,,,,
@gadoel01~,"Mengapa terkesan buru buru membangun IKN...Apakah itu tidak menelan biaya yang sangat banyak...Apa kah bapak tau masyarakat masih gundah mikirin hutang dan pangan ....di daerah saya banyak sekali yang mengeluh tentang ekonomi,,bahkan banyak yang ingin merantau jadi TKI..",Negatif,,,,,,,,,,,,
@iwantarigan~,"Setahun 100 kali foto foto di IKN, investor gak ada yg masuk, pakai APBN sedangkan APBN minus, ini persis kaya tetangga gue bangun rumah dengan utang ! Bangga pula foto foto.",Negatif,,,,,,,,,,,,
@gurhanawan~,"Utk pemerataan pembangunan, setelah Kalimantan kemana lagi mw dipindahkan IKn pak??",Negatif,,,,,,,,,,,,
@gaols02~,"Takkan ada presiden yg akan tinggal di IKN itu kelak, kelak itu akan jadi bangunan yg tak berpenghuni, kita lihat saja nanti., ambisi mu berlebihan. Anda Seharusnya meningkatkan pertumbuhan ekonomi, supaya Indonesia menjadi negara maju, Bukan membangun IKN.",Negatif,,,,,,,,,,,,
@SamsungLipatDua~,"Pertanyaannya, knp program ini dilaksanakan diakhir periode jabatannya Pak? Biar urusan hutang jd tanggung jawab presiden selanjutnya kah?",Negatif,,,,,,,,,,,,
@SusanAnisa10~,Tujuan menanam nya buat apa pak? Bagaimana nasib pohon yang ditebang untuk proyek food estate nya yang menelan anggaran triliunan rupiah tapi hasilnya 0 itu pak?,Negatif,,,,,,,,,,,,
@de_VawziSLP ~," Ssst... Jangan berkomentar masalah Mahkamah Keluarga, ya!",Netral,,,,,,,,,,,,
@merahputih_62 ~, Jangan lupa pak....Bangun juga Gedung MK baru isana yaa...,Netral,,,,,,,,,,,,
@Warnilisssn ~," Koment kebanyakan terjebak dgn org2 yg punya kepentingan, terus kawal proyek strategis sampai Bpk pensiun, hasil kerja Bpk sdh byk dinikmati rakyat baik yg suka maupun tdk, sehat selalu presiden ",Netral,,,,,,,,,,,,
@AIMSTARAIM14157 ~, Semangat Pak. Kinerja yang baik saya dukung tapi politik dinasti kita lawan sampai mati,Netral,,,,,,,,,,,,
@farid_gt~,"Proyek yang bisa di bilang sangat ambisius Mengingat sebenarnya masih banyak pencapaian yg masih belum di capai tapi kenapa soal ikn yg kayaknya gak mendesak tapi sepertinya pasti jalan, siapa pun nanti penerus kepala negara nya",Netral,,,,,,,,,,,,
@SAdunk19~,"Indonesia negara kaya dgn SDA nya, harusnya Indonesia negara investor bukan mencari investor ...",Netral,,,,,,,,,,,,
@AnugrahPrahasta~,"Prioritaskan pekerjaan untuk rakyat pak. Tanpa rakyat yang bekerja, negaranya bisa lumpuh.",Netral,,,,,,,,,,,,
@New_BUFFETT~,"Hukum itu esensial, kepercayaan itu mahal ! Siapa investor yg rela investasi di sana dgn tidak ada kepastian hukum di negara ini?",Netral,,,,,,,,,,,,
@SinarLumbantor7~,"Ijin Pak Jokowi, mohon sekali kali klo mau ke IKN yang dimana lewat Bandara sepinggan ke MT Haryono atau sekalian ke KM 0 biar tau gimna rasanya balikpapan semenjak di nobatkan menjadi Tetangga IKN (Penajam). Jalanya sumuk, pembangunan jalan gak kelar dari tahun lalu-sekarang.",Netral,,,,,,,,,,,,
@TriasVeny~,"semoga kualitas infrastruktur yg dibangun berkualitas sesuai dengan spek. Sehingga bertahan lama, minim perbaikan tentunya bermaaf bagi rakyat ",Netral,,,,,,,,,,,,
@putrapeuru~,Sudah terjadi. Tinggal menunggu hasil dan dampaknya. Berapa lama PUPR memproses proyek fantastis IKN.,Netral,,,,,,,,,,,,
@pancajkt~,Efektifkan dari segala sisi luasan IKN cukup seluas jakarta saja... Fokus pada fungsi,Netral,,,,,,,,,,,,
@MedanSoepriono~,"Sebenarnya jika IKN dicita citakan dgn semangat Nasionalisme yang berkedaulatan & berkeadilan sosial sangat bagus sekali ,tapi sayang disaat utang negara menumpuk dipaksakan dgn berbagai alasan sangat menyedihkan. Akan jadi beban rakyat& anak cucu di Republik ini .",Netral,,,,,,,,,,,,
@HadiBSulaiman96~,"Mungkin bisa sedikit ngasih masukan pak presiden yang terhormat , jika memang di kasih rumah dinas atau rumah yang ada di sekitar ikn , mending di buat rusun aja atau apartemen kayak di Singapura atau malaysia , jadi tidak makan lahan bersih tertata rapi dan bagus di lihat nya",Netral,,,,,,,,,,,,
@Adp61481192Adp~,Pengwasan independen secara rahasia untuk ikn mohon kerja nyata,Netral,,,,,,,,,,,,
@RAPanutan~,"Secara prinsip pemindahan IK Negara di Kaltim ini mrpkn azas keadilan keseimbangan antara Wilayah IB- Wilayah IT. Namun yg hrs dipikirkan, jgn sampe pemindahan ini dilakukan secara ""ugal²an"" pak demi mengejar waktu periode kepemimpinan bpk. Tetap menganut prinsip kehati²an.",Netral,,,,,,,,,,,,
@Jayrisen~,"Jangan bangun pakai apbn yaa pak , apalagi apbn nya dapat ngutang ,,kan kasian rakyatmu masih banyak yg lebih urgent di negara ini",Netral,,,,,,,,,,,,
@dAsalbantani~,"IKN menjadi langkah strategis untuk menciptakan pemerataan ekonomi dan penduduk, menjauhkan fokus dari Pulau Jawa. Pembangunan ini membutuhkan kesabaran, tetapi berpotensi memberikan dampak positif jangka panjang. ",Positif,,,,,,,,,,,,
@indraken2546~,"setuju pak, minimalisir dampak lingkungan yg merugikan ya pak, teruslah membangun utk pemerataan pembangunan, biarlah yg tdk setuju, mungkin mereka takut akan efek perpindahan, sehat selalu, tunjukkan dg hasil positif, abaikan yg tdk setuju",Positif,,,,,,,,,,,,
@afan137~,Semangat pak. Ibukota harus pindah. Pusat ekonomi tetap di jakarta.,Positif,,,,,,,,,,,,
@ngilerforever~,"Sy yakin banyak yg setuju dengan gagasannya, namun tidak dengan caranya.",Positif,,,,,,,,,,,,
@KianSantangSQ~,Pemindahan Ibu kota itu pilihan penting yg harus dilakukan … yg seharusnya dilakukan sebelum periode pak jokowi … tp daripada tidak sama sekali ya lebih baik terlambat … jakarta sudah sakit …. Dan masih banyak masalah lingkungan yg lain,Positif,,,,,,,,,,,,
@sunaryo83407454~,"Setuju pak ..membangun ikn memang tidak mudah..kalau tidak mulai dari sekarang terus mau nunggu apalagi.. soal pro dan kontra sudah biasa. Lanjutkan pak. Visi misi bapak memang untuk jangka panjang. Bagi yg tidak setuju ya silahkan kritik, tapi kritik yg membangun",Positif,,,,,,,,,,,,
@noma_den~,"Wlaupun sudah tdk menjabat lgi nanti nya, hrs ttep di control pak, kalau nga mau jadi mangkrak, wlaupun sdh di tetapkan UU utk pembangunan IKN",Positif,,,,,,,,,,,,
@MarthenRPellok1~,"Langkah yang sangat tepat. Pisahkan Ibu Kota Negara dengan Kota Pusat Pertumbuhan Ekonomi. Contoh: Pusat pertumbuhan ekonomi di Australia ada di Sidney, Ibu Kota Negara ada di Canberra. Pusat pertumbuhan ekonomi Canada ada Toronto, Ibu kota negara ada di Ottawa",Positif,,,,,,,,,,,,
@Wahyu_distira13~,"Setuju pindah aja ibu kota biar gak DKI aja yg di bantu pusat terus Krn satu kota,biar istana negara ada di seluruh wilayah Indonesia biar trjangkau semua Ama pemerintah biar adil kemajuan teknologi,gaji UMR sama biar rata jngn harga bahan pokok aja yg rata tp gaji pendapatn gk",Positif,,,,,,,,,,,,
@Henrys33909634~,"Mantap pak, tapi kalau bisa tidak hanya membangun satu kota tapi lebih banyak kota mirip apa yang pernah dilakukan cina",Positif,,,,,,,,,,,,
@zaysbandung~,"Iya pak, suka bingung sama yang ngak memahami tujuan dari IKN, Indonesia bukan hanya Jakarta, bukan hanya Jawa",Positif,,,,,,,,,,,,
@panjoel63~ ,"Bangsa besar adalah bangsa yg bisa menghargai setiap pemimpinnya,saya kagum dgn yg sudah dilakukan oleh Pak presiden semangat terus pak sehat selalu nanti rakyat Indonesia akan berterima kasih kepada bapak,tetap sabar dan istiqomah.",Positif,,,,,,,,,,,,
@GulAviveCitizen~," Orang yg ingin negaranya maju pasti pengen IKN, tapi org2 dungu ngga bakalan mau terima dengan alesan apapun juga.",Positif,,,,,,,,,,,,
@yawan_josh ~," salam sukses pak..smg pembangunan di IKN selesai tepat wktu, bravo maju terus!",Positif,,,,,,,,,,,,
@Meta578 ~ ,Kami bersama Pak Jokowi @Jokowi. Bapak Presidenku.,Positif,,,,,,,,,,,,
@RosaRosans8 ~ ,Insyaallah aku otw ke ibu kota IKN menikmati keindahan hasil kerja keras yang nyataselamat untuk masyarakat Kalimantan terimakasih pak Jokowi Indonesia tidak akan seperti ini Indonesia jadi indah karena pak Jokowi,Positif,,,,,,,,,,,,
@RosihanAnwarSGz ~, Alhamdulillah... Semoga bermanfaat dan bisa membantu masyarakat,Positif,,,,,,,,,,,,
@GoRing88 ~," Terima kasih pa jokowi anda melihat kalimntan bukan sebagai ladang sumber daya alam, siapa yg oeduli sama Kalimntan kalau bukan jokowi, rata"" semua Cuma ambil batu bara, kayu, minyak tapi g pernah dibangun kalimntan dan kalimntan yh besar seharus bisa bisa maju sepereti brunei",Positif,,,,,,,,,,,,
@dAsalbantani ~, Pembangunan rumah sakit di IKN akan meningkatkan pelayanan kesehatan dan kepercayaan masyarakat serta investor.,Positif,,,,,,,,,,,,
@nurullaela13 ~, Semoga pembangunan IKN akan berjalan lancar,Positif,,,,,,,,,,,,
@RoyMaipauw ~, Tancap trrus Bapak....,Positif,,,,,,,,,,,,
@MangatasMarpau2 ~ ,"Lanjut terus IKN Kita, tetap maju pantang mundur, jangan cemas jangan gentar.Manusia pendosa akan takut untuk membangun,Manusia Jujur dan Ikhlas akan Kuat,Berani untuk masa depan Indonesia Kita.",Positif,,,,,,,,,,,,
@MemetWatan16673 ~ ,Sukses IKN...moga Presiden selanjutnya akan meneruskan sampai tuntas,Positif,,,,,,,,,,,,
@GodlikeOne01 ~, Semoga pembangunan IKN selalu lancar,Positif,,,,,,,,,,,,
@dAsalbantani~,"Kerjasama antara sektor swasta dan pemerintah bisa menjadi kunci kesuksesan pembangunan IKN. Harapannya, ini membawa manfaat bagi pertumbuhan ekonomi dan kesejahteraan masyarakat.",Positif,,,,,,,,,,,,
@RoyMaipauw~,Lanjutkan dan kebut Pak Jokowi.,Positif,,,,,,,,,,,,
@Hend47503320~,"Semoga IKN sukses menjadi ibukota kebanggaan kita, Aamiin",Positif,,,,,,,,,,,,
@dandang_angus~,"Yang penting negeri ini jangan seperti negara lain ya pak, sesama saudara berperang di pecah belah...pak Jokowi harus kawal negeri ini jgn dipimpin oleh orang2 yg diktator dan memaksakhendaknya,.",Positif,,,,,,,,,,,,
@dAsalbantani~,Pembangunan kompleks perkantoran Bank Indonesia di Ibu Kota Nusantara adalah langkah yang positif dalam memperkuat IKN sebagai ibu kota berkelas dunia.,Positif,,,,,,,,,,,,
@ManaluHumiras~,"Yg penting konsisten bahwa biaya pembangunan IKN tdk menambah utang dan utang lagi, tapi murni dari Investor seperti pernyataan bpk waktu itu...Semoga aja perkataan dengan perbuatan sama dan sejalan...",Positif,,,,,,,,,,,,
@fahmi_es~,"Proyek IKN ini adalah proyek jangka panjang, perlu adanya berkelanjutan untuk proyek ini, pun demikian dgn pelestarian lingkungan di sana. Jika ada yg membawa isu perubahan, maka niscaya proyek ini tidak akan berjalan dgn baik.",Positif,,,,,,,,,,,,
@jhonredo~,"IKN SOLUSI INDONESIA MAJU ! PUSAT PEMERINTAHAN TIDAK MUNGKIN LAGI BISA DI JAKARTA ! KARENA SAAT INI BIROKRASI DI JAKARTA BAIK EKSEKUTIF, LEGISLATIF DAN YUDIKATIF TERPAPAR GAYA HIDUP JAKARTA YG HEDONIS ! SEHINGGA TIDAK FOKUS URUS NEGARA DAN PEMERINTAHAN !",Positif,,,,,,,,,,,,
@MasBolali~,"Semoga lancar & sukses IKN nya, Yg pesimis dan mau perubahan biar ke laut aja!!",Positif,,,,,,,,,,,,
@benayakahulta~,Terima kasih Pak Jokowi atas keputusan besar IKN di Kaltim. Saya sbg penduduk Kaltim sangat mengharapkan pengganti Bapak di 2024 nanti punya komitmen yg kuat unt tuntaskan IKN ini scr penuh guna wujudkan INDONESIACENTRIS,Positif,,,,,,,,,,,,
@paulussole66gm1~,"Trmksh pak Jokowi kami masyarakat NTT yg miskin tetap mendukung pembangunan IKN, hanya kelompok intoleran dan kelompok status go yg tidak setuju, maju terus pantang mundur, BPK sudah meletakan fondasi yg kuat agar kedepan generasi muda harus berinovasi dan sejajar dgn masykt duni",Positif,,,,,,,,,,,,
@Boni_Sena~,"Terima kasih pak jokowi, smg infrastruktur IKN segera selesai ",Positif,,,,,,,,,,,,
@great_dimaz~,"Bangsa ini butuh kebanggaan, dan IKN adalah kebanggaan",Positif,,,,,,,,,,,,
@kavairlangga~,IKN akan menjadi project mega besar yg akan bermanfaat untuk kesejahteraan rakyat,Positif,,,,,,,,,,,,
@cekacekii~,"Belum jadi aja udah sekeren itu, apalagi nantii",Positif,,,,,,,,,,,,
